x_1	y_1	x_2	y_2	block_type	type	score
2226.00146484375	39.45221710205078	2343.857421875	50.53744125366211	rectangle	TextRegion	0.9998133778572083
2244.02587890625	1055.50439453125	2302.22607421875	1076.31787109375	rectangle	TextRegion	0.9996071457862854
2246.593017578125	488.2419128417969	2301.483154296875	508.53289794921875	rectangle	TextRegion	0.9985594153404236
105.65826416015625	1056.884765625	170.3146514892578	1076.039306640625	rectangle	TextRegion	0.997779905796051
1811.1983642578125	1376.1966552734375	1848.1361083984375	1390.9013671875	rectangle	TextRegion	0.9975124597549438
108.4379653930664	1338.780029296875	167.7365264892578	1358.2589111328125	rectangle	TextRegion	0.9969398975372314
2240.725830078125	205.25357055664062	2303.101318359375	229.43490600585938	rectangle	TextRegion	0.9951326251029968
2242.184326171875	1339.5498046875	2303.44775390625	1359.2110595703125	rectangle	TextRegion	0.9947020411491394
2243.072021484375	771.3624267578125	2302.559326171875	792.596435546875	rectangle	TextRegion	0.9932063817977905
104.4104995727539	207.06448364257812	170.4455108642578	226.74539184570312	rectangle	TextRegion	0.9913840293884277
104.80583953857422	489.859130859375	169.80287170410156	511.34710693359375	rectangle	TextRegion	0.9873178601264954
109.55691528320312	770.9812622070312	167.12144470214844	792.119873046875	rectangle	TextRegion	0.9848072528839111
1842.3814697265625	1508.47802734375	2333.0517578125	1630.8077392578125	rectangle	TableRegion	0.9217763543128967
509.9322509765625	47.642311096191406	524.349365234375	88.1806640625	rectangle	TextRegion	0.9112716317176819
781.8445434570312	364.9212951660156	1725.871337890625	1268.1982421875	rectangle	ImageRegion	0.8334733247756958
