model_name,accuracy
ViT-B/32 init zero,33.55
ViT-B/32 details zero,50.08
ViT-B/32 extra zero,42.74
ViT-B/32 gemini zero,42.04
ViT-B/32 gpt zero,31.73
ViT-B/32 large zero,31.57
ViT-B/32 mid zero,37.62
ViT-B/32 min zero,43.37
ViT-B/32 short zero,28.08
ViT-B/32 average zero,44.32
ViT-B/16 init zero,22.0
ViT-B/16 details zero,36.37
ViT-B/16 extra zero,37.31
ViT-B/16 gemini zero,44.91
ViT-B/16 gpt zero,24.59
ViT-B/16 large zero,32.34
ViT-B/16 mid zero,40.72
ViT-B/16 min zero,33.95
ViT-B/16 short zero,24.41
ViT-B/16 average zero,38.63
ViT-L/14 init zero,33.82
ViT-L/14 details zero,35.99
ViT-L/14 extra zero,29.12
ViT-L/14 gemini zero,29.53
ViT-L/14 gpt zero,25.49
ViT-L/14 large zero,34.56
ViT-L/14 mid zero,45.27
ViT-L/14 min zero,42.58
ViT-L/14 short zero,44.76
ViT-L/14 average zero,45.97
ViT-L/14@336px init zero,31.95
ViT-L/14@336px details zero,38.12
ViT-L/14@336px extra zero,29.36
ViT-L/14@336px gemini zero,25.93
ViT-L/14@336px gpt zero,27.47
ViT-L/14@336px large zero,30.63
ViT-L/14@336px mid zero,37.38
ViT-L/14@336px min zero,36.96
ViT-L/14@336px short zero,41.66
ViT-L/14@336px average zero,39.57
ViT-B/16 init,99.1
ViT-B/16 details,99.08
ViT-B/16 extra,99.12
ViT-B/16 gemini,99.1
ViT-B/16 gpt,98.95
ViT-B/16 large,99.1
ViT-B/16 mid,99.14
ViT-B/16 min,98.86
ViT-B/16 short,99.06
ViT-B/16 average,99.06
ViT-B/32 init,98.95
ViT-B/32 extra,98.92
ViT-B/32 gemini,98.94
ViT-B/32 large,98.97
ViT-B/32 mid,98.86
ViT-B/32 average,98.99
ViT-L/14-336px init,98.86
ViT-L/14-336px extra,98.59
ViT-L/14-336px gemini,98.97
ViT-L/14-336px large,98.68
ViT-L/14-336px mid,98.81
ViT-L/14-336px average,98.72
ViT-L/14 init,98.97
ViT-L/14 extra,98.83
ViT-L/14 gemini,98.86
ViT-L/14 large,98.92
ViT-L/14 mid,98.9
ViT-L/14 average,98.81
